idx,start_wall_s,model_start_wall_s,end_wall_s,ros_stamp_s,reason_tokens,generated_token_slots,traj_start_token_rows,traj_start_token_all_rows,cfg_nav,prompt_kv_seq_len,prompt_kv_tensors,prompt_kv_bytes,prompt_kv_mib,unguided_prompt_kv_seq_len,unguided_prompt_kv_tensors,unguided_prompt_kv_bytes,unguided_prompt_kv_mib,total_kv_bytes,total_kv_mib,model_parameter_bytes,model_parameter_mib,cuda_memory_allocated_start_bytes,cuda_memory_reserved_start_bytes,cuda_memory_allocated_end_bytes,cuda_memory_reserved_end_bytes,cuda_memory_peak_allocated_bytes,cuda_memory_peak_reserved_bytes,cuda_memory_peak_allocated_delta_bytes,cuda_memory_peak_reserved_delta_bytes
24,1786913418.147664,1786913418.152551,1786913425.836515,1545235998.902751,0,64,0,0,0,891,72,131383296,125.296875,,,0,,131383296,125.296875,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
25,1786913426.147628,1786913426.152694,1786913427.791155,1545236002.882707,0,10,0,0,0,837,72,123420672,117.703125,,,0,,123420672,117.703125,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
26,1786913428.147467,1786913428.152609,1786913430.245134,1545236003.902715,11,14,1,1,0,841,72,124010496,118.265625,,,0,,124010496,118.265625,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
27,1786913432.147572,1786913432.153776,1786913433.796746,1545236005.922679,7,10,1,1,0,837,72,123420672,117.703125,,,0,,123420672,117.703125,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
28,1786913434.147540,1786913434.153109,1786913435.793361,1545236006.902815,7,10,1,1,0,837,72,123420672,117.703125,,,0,,123420672,117.703125,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
29,1786913436.147498,1786913436.152417,1786913438.452298,1545236007.882821,13,16,1,1,0,843,72,124305408,118.546875,,,0,,124305408,118.546875,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
30,1786913440.147618,1786913440.152771,1786913442.439767,1545236009.902685,13,16,1,1,0,843,72,124305408,118.546875,,,0,,124305408,118.546875,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
31,1786913444.147565,1786913444.152443,1786913447.014915,1545236011.922659,18,21,1,1,0,848,72,125042688,119.250000,,,0,,125042688,119.250000,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
32,1786913448.147610,1786913448.153507,1786913450.360933,1545236013.882709,12,15,1,1,0,842,72,124157952,118.406250,,,0,,124157952,118.406250,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
33,1786913452.147510,1786913452.152618,1786913453.472400,1545236015.922744,0,7,0,0,0,834,72,122978304,117.281250,,,0,,122978304,117.281250,22157053040,21130.612411,22184885248,22739419136,22202598912,22739419136,22466132992,22739419136,281247744,0
