idx,start_wall_s,model_start_wall_s,end_wall_s,ros_stamp_s,reason_tokens,generated_token_slots,traj_start_token_rows,traj_start_token_all_rows,cfg_nav,prompt_kv_seq_len,prompt_kv_tensors,prompt_kv_bytes,prompt_kv_mib,unguided_prompt_kv_seq_len,unguided_prompt_kv_tensors,unguided_prompt_kv_bytes,unguided_prompt_kv_mib,total_kv_bytes,total_kv_mib,model_parameter_bytes,model_parameter_mib,cuda_memory_allocated_start_bytes,cuda_memory_reserved_start_bytes,cuda_memory_allocated_end_bytes,cuda_memory_reserved_end_bytes,cuda_memory_peak_allocated_bytes,cuda_memory_peak_reserved_bytes,cuda_memory_peak_allocated_delta_bytes,cuda_memory_peak_reserved_delta_bytes
20,1786913115.720338,1786913115.742906,1786913119.263524,1552440205.562555,8,11,1,1,0,3083,72,454606848,433.546875,,,0,,454606848,433.546875,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
21,1786913119.720558,1786913119.743049,1786913123.006356,1552440205.962419,6,9,1,1,0,3081,72,454311936,433.265625,,,0,,454311936,433.265625,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
22,1786913123.720347,1786913123.743149,1786913127.409479,1552440206.362294,9,12,1,1,0,3084,72,454754304,433.687500,,,0,,454754304,433.687500,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
23,1786913127.720258,1786913127.742372,1786913131.080100,1552440206.762344,6,9,1,1,0,3081,72,454311936,433.265625,,,0,,454311936,433.265625,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
24,1786913131.720653,1786913131.743156,1786913135.560529,1552440207.162441,10,13,1,1,0,3085,72,454901760,433.828125,,,0,,454901760,433.828125,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
25,1786913135.720482,1786913135.743473,1786913140.728002,1552440207.562568,20,23,1,1,0,3095,72,456376320,435.234375,,,0,,456376320,435.234375,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
26,1786913141.720357,1786913141.742604,1786913145.093275,1552440208.162619,6,9,1,1,0,3081,72,454311936,433.265625,,,0,,454311936,433.265625,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
27,1786913145.720398,1786913145.742664,1786913149.087311,1552440208.562580,6,9,1,1,0,3081,72,454311936,433.265625,,,0,,454311936,433.265625,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
28,1786913149.720395,1786913149.745262,1786913153.092857,1552440208.962571,6,9,1,1,0,3081,72,454311936,433.265625,,,0,,454311936,433.265625,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
29,1786913153.720510,1786913153.743225,1786913158.725421,1552440209.362568,20,23,1,1,0,3095,72,456376320,435.234375,,,0,,456376320,435.234375,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
30,1786913159.720286,1786913159.742550,1786913163.526664,1552440209.962528,10,13,1,1,0,3085,72,454901760,433.828125,,,0,,454901760,433.828125,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
31,1786913163.720273,1786913163.742441,1786913167.510842,1552440210.362521,10,13,1,1,0,3085,72,454901760,433.828125,,,0,,454901760,433.828125,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
32,1786913167.720300,1786913167.742987,1786913171.433239,1552440210.762518,9,12,1,1,0,3084,72,454754304,433.687500,,,0,,454754304,433.687500,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
33,1786913171.720495,1786913171.743362,1786913175.087535,1552440211.162579,6,9,1,1,0,3081,72,454311936,433.265625,,,0,,454311936,433.265625,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
34,1786913175.720435,1786913175.742639,1786913179.450873,1552440211.562545,9,12,1,1,0,3084,72,454754304,433.687500,,,0,,454754304,433.687500,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
35,1786913179.720268,1786913179.742532,1786913183.213721,1552440211.962557,7,10,1,1,0,3082,72,454459392,433.406250,,,0,,454459392,433.406250,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
36,1786913183.720410,1786913183.743045,1786913187.087236,1552440212.362571,6,9,1,1,0,3081,72,454311936,433.265625,,,0,,454311936,433.265625,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
37,1786913187.720362,1786913187.742599,1786913191.094347,1552440212.762544,6,9,1,1,0,3081,72,454311936,433.265625,,,0,,454311936,433.265625,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
38,1786913191.720657,1786913191.742826,1786913195.101940,1552440213.162514,6,9,1,1,0,3081,72,454311936,433.265625,,,0,,454311936,433.265625,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
39,1786913195.720436,1786913195.742527,1786913199.136420,1552440213.562524,7,10,1,1,0,3082,72,454459392,433.406250,,,0,,454459392,433.406250,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
40,1786913199.720306,1786913199.742356,1786913203.053306,1552440213.962499,6,9,1,1,0,3081,72,454311936,433.265625,,,0,,454311936,433.265625,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
41,1786913203.720277,1786913203.742704,1786913207.510524,1552440214.362535,10,13,1,1,0,3085,72,454901760,433.828125,,,0,,454901760,433.828125,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
42,1786913207.720294,1786913207.742557,1786913210.745258,1552440214.762521,6,9,1,1,0,3081,72,454311936,433.265625,,,0,,454311936,433.265625,22157053040,21130.612411,22205206528,23712497664,22276041216,23712497664,23224913920,23712497664,1019707392,0
