idx,start_wall_s,model_start_wall_s,end_wall_s,ros_stamp_s,reason_tokens,generated_token_slots,traj_start_token_rows,traj_start_token_all_rows,cfg_nav,prompt_kv_seq_len,prompt_kv_tensors,prompt_kv_bytes,prompt_kv_mib,unguided_prompt_kv_seq_len,unguided_prompt_kv_tensors,unguided_prompt_kv_bytes,unguided_prompt_kv_mib,total_kv_bytes,total_kv_mib,model_parameter_bytes,model_parameter_mib,cuda_memory_allocated_start_bytes,cuda_memory_reserved_start_bytes,cuda_memory_allocated_end_bytes,cuda_memory_reserved_end_bytes,cuda_memory_peak_allocated_bytes,cuda_memory_peak_reserved_bytes,cuda_memory_peak_allocated_delta_bytes,cuda_memory_peak_reserved_delta_bytes
20,1788404863.972076,1788404864.001561,1788404865.584896,1552440201.062589,11,14,1,1,0,841,72,124010496,118.265625,,,0,,124010496,118.265625,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
21,1788404865.972030,1788404866.002240,1788404867.294930,1552440201.262585,7,10,1,1,0,837,72,123420672,117.703125,,,0,,123420672,117.703125,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
22,1788404867.972340,1788404868.002190,1788404869.304759,1552440201.462555,7,10,1,1,0,837,72,123420672,117.703125,,,0,,123420672,117.703125,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
23,1788404869.972044,1788404870.002014,1788404871.220468,1552440201.662519,6,9,1,1,0,836,72,123273216,117.562500,,,0,,123273216,117.562500,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
24,1788404871.971573,1788404872.001726,1788404873.590846,1552440201.862530,11,14,1,1,0,841,72,124010496,118.265625,,,0,,124010496,118.265625,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
25,1788404873.972138,1788404874.001023,1788404875.714572,1552440202.062501,13,16,1,1,0,843,72,124305408,118.546875,,,0,,124305408,118.546875,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
26,1788404875.971648,1788404876.001242,1788404877.656844,1552440202.262511,12,15,1,1,0,842,72,124157952,118.406250,,,0,,124157952,118.406250,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
27,1788404877.972105,1788404878.004957,1788404879.912995,1552440202.462481,12,15,1,1,0,842,72,124157952,118.406250,,,0,,124157952,118.406250,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
28,1788404879.971414,1788404880.002346,1788404881.502124,1552440202.662482,10,13,1,1,0,840,72,123863040,118.125000,,,0,,123863040,118.125000,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
29,1788404881.971581,1788404882.002675,1788404883.215696,1552440202.862531,6,9,1,1,0,836,72,123273216,117.562500,,,0,,123273216,117.562500,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
30,1788404883.971693,1788404884.001791,1788404885.228977,1552440203.062567,6,9,1,1,0,836,72,123273216,117.562500,,,0,,123273216,117.562500,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
31,1788404885.971635,1788404886.001291,1788404887.215390,1552440203.262548,6,9,1,1,0,836,72,123273216,117.562500,,,0,,123273216,117.562500,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
32,1788404887.971950,1788404888.001937,1788404889.590235,1552440203.462559,11,14,1,1,0,841,72,124010496,118.265625,,,0,,124010496,118.265625,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
33,1788404889.971689,1788404890.001434,1788404891.221442,1552440203.662526,6,9,1,1,0,836,72,123273216,117.562500,,,0,,123273216,117.562500,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
34,1788404891.972156,1788404892.004050,1788404893.235594,1552440203.862528,6,9,1,1,0,836,72,123273216,117.562500,,,0,,123273216,117.562500,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
35,1788404893.971885,1788404894.002416,1788404895.220057,1552440204.062537,6,9,1,1,0,836,72,123273216,117.562500,,,0,,123273216,117.562500,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
36,1788404895.971597,1788404896.001458,1788404897.216107,1552440204.262537,6,9,1,1,0,836,72,123273216,117.562500,,,0,,123273216,117.562500,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
37,1788404897.971498,1788404898.001244,1788404899.813223,1552440204.462506,14,17,1,1,0,844,72,124452864,118.687500,,,0,,124452864,118.687500,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
38,1788404899.972095,1788404900.001714,1788404901.345525,1552440204.662544,8,11,1,1,0,838,72,123568128,117.843750,,,0,,123568128,117.843750,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
39,1788404901.972062,1788404902.001926,1788404903.190662,1552440204.862543,6,9,1,1,0,836,72,123273216,117.562500,,,0,,123273216,117.562500,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
40,1788404903.971669,1788404904.000694,1788404905.213029,1552440205.062588,6,9,1,1,0,836,72,123273216,117.562500,,,0,,123273216,117.562500,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
41,1788404905.971432,1788404906.002323,1788404907.217474,1552440205.262596,6,9,1,1,0,836,72,123273216,117.562500,,,0,,123273216,117.562500,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
42,1788404907.972035,1788404908.003102,1788404909.223338,1552440205.462567,6,9,1,1,0,836,72,123273216,117.562500,,,0,,123273216,117.562500,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
43,1788404909.971429,1788404910.001519,1788404911.218684,1552440205.662536,6,9,1,1,0,836,72,123273216,117.562500,,,0,,123273216,117.562500,22157053040,21130.612411,22185418752,22728933376,22203132416,22728933376,22466413568,22728933376,280994816,0
