dataset,run,source_dir,max_gen_len,diff_steps,rate,n_inferences,cfg_nav_mean,reason_tokens_mean,reason_tokens_std,reason_tokens_max,generated_token_slots_mean,generated_token_slots_std,generated_token_slots_max,traj_start_hit_rate,prompt_kv_seq_len_mean,prompt_kv_seq_len_std,prompt_kv_mib_mean,prompt_kv_mib_std,prompt_kv_mib_max,unguided_prompt_kv_mib_mean,total_kv_mib_mean,total_kv_mib_std,total_kv_mib_max,model_parameter_gib_mean,cuda_peak_allocated_gib_mean,cuda_peak_allocated_gib_max,cuda_peak_reserved_gib_mean,cuda_peak_reserved_gib_max,cuda_peak_allocated_delta_mib_mean,cuda_peak_allocated_delta_mib_max,kv_pct_of_peak_allocated_mean,model_duration_s_mean,gpu_energy_j_mean,total_tflop_mean
MCity,kv/mcity_diff2,/home/loki/alpamayo-autoware/results/kv/mcity_diff2,64,2,0.5,137,0.000000,13.3285,6.9007,47,18.1898,9.6089,64,0.941606,845.1898,9.6089,118.854813,1.351255,125.296875,,118.854813,1.351255,125.296875,20.635364,20.923218,20.923347,21.177734,21.177734,268.227037,269.354004,0.554739,2.557735,50.480175,64.052000
Waymo,kv/waymo_moving_diff2,/home/loki/alpamayo-autoware/results/kv/waymo_moving_diff2,64,2,0.1,43,0.000000,8.6977,5.0215,33,11.6977,5.0215,36,1.000000,3083.6977,5.0215,433.644985,0.706155,437.062500,,433.644985,0.706155,437.062500,20.635364,21.629921,21.631350,22.083984,22.083984,972.526878,974.968262,1.957850,3.657238,108.866372,63.958953
