dataset,run,idx,ros_stamp_s,cfg_nav,reason_tokens,generated_token_slots,traj_start_token_rows,traj_start_token_all_rows,prompt_kv_seq_len,prompt_kv_mib,unguided_prompt_kv_mib,total_kv_mib,model_parameter_mib,cuda_peak_allocated_gib,cuda_peak_reserved_gib,cuda_peak_allocated_delta_mib,cuda_peak_reserved_delta_mib,kv_pct_of_peak_allocated,model_duration_s,input_camera_frames,gpu_energy_j,total_energy_j,total_tflop
MCity,kv/mcity_diff2,131,1545236201.901193,0,13,16,1,1,843,118.546875,,118.546875,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553301,2.312631,4,45.846,148.633,
MCity,kv/mcity_diff2,132,1545236203.901169,0,13,16,1,1,843,118.546875,,118.546875,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553301,2.309161,4,45.611,148.575,
MCity,kv/mcity_diff2,133,1545236205.921130,0,8,11,1,1,838,117.843750,,117.843750,21130.612411,20.923217,21.177734,268.218750,0.000000,0.550020,1.765145,4,36.668,116.615,
MCity,kv/mcity_diff2,134,1545236206.901187,0,13,16,1,1,843,118.546875,,118.546875,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553301,2.323081,4,48.783,149.270,
MCity,kv/mcity_diff2,135,1545236208.701174,0,13,16,1,1,843,118.546875,,118.546875,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553301,2.310736,4,45.897,148.102,
MCity,kv/mcity_diff2,136,1545236208.701174,0,13,16,1,1,843,118.546875,,118.546875,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553301,2.297335,4,45.577,147.773,
Waymo,kv/waymo_moving_diff2,0,1552440196.862068,0,6,9,1,1,3081,433.265625,,433.265625,21130.612411,21.631350,22.083984,974.968262,1062.000000,1.956008,4.085320,16,106.636,274.644,63.913
Waymo,kv/waymo_moving_diff2,1,1552440197.361693,0,11,14,1,1,3086,433.968750,,433.968750,21130.612411,21.629887,22.083984,972.468750,0.000000,1.959315,3.941151,16,112.515,285.235,63.998
Waymo,kv/waymo_moving_diff2,2,1552440197.761529,0,7,10,1,1,3082,433.406250,,433.406250,21130.612411,21.629887,22.083984,972.468750,0.000000,1.956775,3.474607,16,108.346,259.194,63.930
Waymo,kv/waymo_moving_diff2,3,1552440198.161543,0,9,12,1,1,3084,433.687500,,433.687500,21130.612411,21.629887,22.083984,972.468750,0.000000,1.958045,3.686846,16,108.980,271.708,63.964
Waymo,kv/waymo_moving_diff2,4,1552440198.561742,0,7,10,1,1,3082,433.406250,,433.406250,21130.612411,21.629887,22.083984,972.468750,0.000000,1.956775,3.463365,16,106.326,258.638,63.930
Waymo,kv/waymo_moving_diff2,5,1552440198.962023,0,6,9,1,1,3081,433.265625,,433.265625,21130.612411,21.629887,22.083984,972.468750,0.000000,1.956140,3.352221,16,103.291,251.652,63.913
Waymo,kv/waymo_moving_diff2,6,1552440199.362275,0,6,9,1,1,3081,433.265625,,433.265625,21130.612411,21.629887,22.083984,972.468750,0.000000,1.956140,3.360655,16,102.969,253.151,63.913
Waymo,kv/waymo_moving_diff2,7,1552440199.762434,0,9,12,1,1,3084,433.687500,,433.687500,21130.612411,21.629887,22.083984,972.468750,0.000000,1.958045,3.699255,16,109.308,272.773,63.964
Waymo,kv/waymo_moving_diff2,8,1552440200.162477,0,12,15,1,1,3087,434.109375,,434.109375,21130.612411,21.629887,22.083984,972.468750,0.000000,1.959950,4.057366,16,116.674,293.687,64.015
Waymo,kv/waymo_moving_diff2,9,1552440200.662540,0,12,15,1,1,3087,434.109375,,434.109375,21130.612411,21.629887,22.083984,972.468750,0.000000,1.959950,3.996343,16,113.661,293.025,64.015
Waymo,kv/waymo_moving_diff2,10,1552440201.162602,0,33,36,1,1,3108,437.062500,,437.062500,21130.612411,21.629887,22.083984,972.468750,0.000000,1.973283,6.402879,16,153.623,435.235,64.374
Waymo,kv/waymo_moving_diff2,11,1552440201.862530,0,6,9,1,1,3081,433.265625,,433.265625,21130.612411,21.629887,22.083984,972.468750,0.000000,1.956140,3.333503,16,102.713,252.230,63.913
Waymo,kv/waymo_moving_diff2,12,1552440202.262511,0,12,15,1,1,3087,434.109375,,434.109375,21130.612411,21.629887,22.083984,972.468750,0.000000,1.959950,3.981997,16,114.292,291.042,64.015
Waymo,kv/waymo_moving_diff2,13,1552440202.762508,0,6,9,1,1,3081,433.265625,,433.265625,21130.612411,21.629887,22.083984,972.468750,0.000000,1.956140,3.353492,16,102.102,253.163,63.913
Waymo,kv/waymo_moving_diff2,14,1552440203.162558,0,6,9,1,1,3081,433.265625,,433.265625,21130.612411,21.629887,22.083984,972.468750,0.000000,1.956140,3.352608,16,103.002,253.800,63.913
Waymo,kv/waymo_moving_diff2,15,1552440203.562534,0,7,10,1,1,3082,433.406250,,433.406250,21130.612411,21.629887,22.083984,972.468750,0.000000,1.956775,3.465600,16,105.295,259.619,63.930
Waymo,kv/waymo_moving_diff2,16,1552440203.962552,0,6,9,1,1,3081,433.265625,,433.265625,21130.612411,21.629887,22.083984,972.468750,0.000000,1.956140,3.360717,16,103.627,254.210,63.913
Waymo,kv/waymo_moving_diff2,17,1552440204.362522,0,6,9,1,1,3081,433.265625,,433.265625,21130.612411,21.629887,22.083984,972.468750,0.000000,1.956140,3.353916,16,103.210,253.232,63.913
Waymo,kv/waymo_moving_diff2,18,1552440204.762531,0,6,9,1,1,3081,433.265625,,433.265625,21130.612411,21.629887,22.083984,972.468750,0.000000,1.956140,3.359050,16,103.489,254.882,63.913
Waymo,kv/waymo_moving_diff2,19,1552440205.162607,0,6,9,1,1,3081,433.265625,,433.265625,21130.612411,21.629887,22.083984,972.468750,0.000000,1.956140,3.268561,16,102.126,250.209,63.913
Waymo,kv/waymo_moving_diff2,20,1552440205.562555,0,8,11,1,1,3083,433.546875,,433.546875,21130.612411,21.629887,22.083984,972.468750,0.000000,1.957410,3.520617,16,106.462,264.575,63.947
Waymo,kv/waymo_moving_diff2,21,1552440205.962419,0,6,9,1,1,3081,433.265625,,433.265625,21130.612411,21.629887,22.083984,972.468750,0.000000,1.956140,3.263306,16,102.750,250.336,63.913
Waymo,kv/waymo_moving_diff2,22,1552440206.362294,0,9,12,1,1,3084,433.687500,,433.687500,21130.612411,21.629887,22.083984,972.468750,0.000000,1.958045,3.666330,16,108.911,273.337,63.964
Waymo,kv/waymo_moving_diff2,23,1552440206.762344,0,6,9,1,1,3081,433.265625,,433.265625,21130.612411,21.629887,22.083984,972.468750,0.000000,1.956140,3.337728,16,104.469,253.903,63.913
Waymo,kv/waymo_moving_diff2,24,1552440207.162441,0,10,13,1,1,3085,433.828125,,433.828125,21130.612411,21.629887,22.083984,972.468750,0.000000,1.958680,3.817373,16,111.464,281.350,63.981
Waymo,kv/waymo_moving_diff2,25,1552440207.562568,0,20,23,1,1,3095,435.234375,,435.234375,21130.612411,21.629887,22.083984,972.468750,0.000000,1.965029,4.984529,16,133.708,350.931,64.152
Waymo,kv/waymo_moving_diff2,26,1552440208.162619,0,6,9,1,1,3081,433.265625,,433.265625,21130.612411,21.629887,22.083984,972.468750,0.000000,1.956140,3.350672,16,102.693,253.639,63.913
Waymo,kv/waymo_moving_diff2,27,1552440208.562580,0,6,9,1,1,3081,433.265625,,433.265625,21130.612411,21.629887,22.083984,972.468750,0.000000,1.956140,3.344647,16,103.397,254.482,63.913
Waymo,kv/waymo_moving_diff2,28,1552440208.962571,0,6,9,1,1,3081,433.265625,,433.265625,21130.612411,21.629887,22.083984,972.468750,0.000000,1.956140,3.347596,16,103.009,253.353,63.913
Waymo,kv/waymo_moving_diff2,29,1552440209.362568,0,20,23,1,1,3095,435.234375,,435.234375,21130.612411,21.629887,22.083984,972.468750,0.000000,1.965029,4.982197,16,131.275,351.263,64.152
Waymo,kv/waymo_moving_diff2,30,1552440209.962528,0,10,13,1,1,3085,433.828125,,433.828125,21130.612411,21.629887,22.083984,972.468750,0.000000,1.958680,3.784114,16,110.600,279.494,63.981
Waymo,kv/waymo_moving_diff2,31,1552440210.362521,0,10,13,1,1,3085,433.828125,,433.828125,21130.612411,21.629887,22.083984,972.468750,0.000000,1.958680,3.768401,16,113.385,280.058,63.981
Waymo,kv/waymo_moving_diff2,32,1552440210.762518,0,9,12,1,1,3084,433.687500,,433.687500,21130.612411,21.629887,22.083984,972.468750,0.000000,1.958045,3.690253,16,111.634,274.981,63.964
Waymo,kv/waymo_moving_diff2,33,1552440211.162579,0,6,9,1,1,3081,433.265625,,433.265625,21130.612411,21.629887,22.083984,972.468750,0.000000,1.956140,3.344173,16,105.162,253.882,63.913
Waymo,kv/waymo_moving_diff2,34,1552440211.562545,0,9,12,1,1,3084,433.687500,,433.687500,21130.612411,21.629887,22.083984,972.468750,0.000000,1.958045,3.708235,16,109.939,275.942,63.964
Waymo,kv/waymo_moving_diff2,35,1552440211.962557,0,7,10,1,1,3082,433.406250,,433.406250,21130.612411,21.629887,22.083984,972.468750,0.000000,1.956775,3.471190,16,107.478,261.688,63.930
Waymo,kv/waymo_moving_diff2,36,1552440212.362571,0,6,9,1,1,3081,433.265625,,433.265625,21130.612411,21.629887,22.083984,972.468750,0.000000,1.956140,3.344191,16,103.912,254.882,63.913
Waymo,kv/waymo_moving_diff2,37,1552440212.762544,0,6,9,1,1,3081,433.265625,,433.265625,21130.612411,21.629887,22.083984,972.468750,0.000000,1.956140,3.351747,16,103.839,254.082,63.913
Waymo,kv/waymo_moving_diff2,38,1552440213.162514,0,6,9,1,1,3081,433.265625,,433.265625,21130.612411,21.629887,22.083984,972.468750,0.000000,1.956140,3.359113,16,104.311,255.176,63.913
Waymo,kv/waymo_moving_diff2,39,1552440213.562524,0,7,10,1,1,3082,433.406250,,433.406250,21130.612411,21.629887,22.083984,972.468750,0.000000,1.956775,3.393893,16,104.765,258.531,63.930
Waymo,kv/waymo_moving_diff2,40,1552440213.962499,0,6,9,1,1,3081,433.265625,,433.265625,21130.612411,21.629887,22.083984,972.468750,0.000000,1.956140,3.310950,16,103.523,254.808,63.913
Waymo,kv/waymo_moving_diff2,41,1552440214.362535,0,10,13,1,1,3085,433.828125,,433.828125,21130.612411,21.629887,22.083984,972.468750,0.000000,1.958680,3.767820,16,111.671,280.475,63.981
Waymo,kv/waymo_moving_diff2,42,1552440214.762521,0,6,9,1,1,3081,433.265625,,433.265625,21130.612411,21.629887,22.083984,972.468750,0.000000,1.956140,3.002701,16,100.712,241.462,63.913
