dataset,run,idx,ros_stamp_s,cfg_nav,reason_tokens,generated_token_slots,traj_start_token_rows,traj_start_token_all_rows,prompt_kv_seq_len,prompt_kv_mib,unguided_prompt_kv_mib,total_kv_mib,model_parameter_mib,cuda_peak_allocated_gib,cuda_peak_reserved_gib,cuda_peak_allocated_delta_mib,cuda_peak_reserved_delta_mib,kv_pct_of_peak_allocated,model_duration_s,input_camera_frames,gpu_energy_j,total_energy_j,total_tflop
MCity,kv/mcity_diff2,30,1545236009.902685,0,13,16,1,1,843,118.546875,,118.546875,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553301,2.286996,4,45.617,147.161,63.981
MCity,kv/mcity_diff2,31,1545236011.922659,0,18,21,1,1,848,119.250000,,119.250000,21130.612411,20.923217,21.177734,268.218750,0.000000,0.556583,2.862472,4,54.814,181.006,64.032
MCity,kv/mcity_diff2,32,1545236013.882709,0,12,15,1,1,842,118.406250,,118.406250,21130.612411,20.923217,21.177734,268.218750,0.000000,0.552645,2.207426,4,44.180,142.517,64.015
MCity,kv/mcity_diff2,33,1545236015.922744,0,0,7,0,0,834,117.281250,,117.281250,21130.612411,20.923217,21.177734,268.218750,0.000000,0.547394,1.319782,4,29.057,90.186,64.032
MCity,kv/mcity_diff2,34,1545236016.902630,0,13,16,1,1,843,118.546875,,118.546875,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553301,2.304544,4,46.626,148.230,63.947
MCity,kv/mcity_diff2,35,1545236018.902597,0,10,13,1,1,840,118.125000,,118.125000,21130.612411,20.923217,21.177734,268.218750,0.000000,0.551332,1.955298,4,40.131,128.046,64.511
MCity,kv/mcity_diff2,36,1545236019.882693,0,13,16,1,1,843,118.546875,,118.546875,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553301,2.285527,4,49.792,147.692,64.067
MCity,kv/mcity_diff2,37,1545236021.902569,0,12,15,1,1,842,118.406250,,118.406250,21130.612411,20.923217,21.177734,268.218750,0.000000,0.552645,2.167766,4,43.716,140.879,64.203
MCity,kv/mcity_diff2,38,1545236023.922633,0,13,16,1,1,843,118.546875,,118.546875,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553301,2.287126,4,45.649,147.231,64.015
MCity,kv/mcity_diff2,39,1545236025.882617,0,8,11,1,1,838,117.843750,,117.843750,21130.612411,20.923217,21.177734,268.218750,0.000000,0.550020,1.735248,4,36.472,115.105,64.101
MCity,kv/mcity_diff2,40,1545236026.902694,0,41,44,1,1,871,122.484375,,122.484375,21130.612411,20.923217,21.177734,268.218750,0.000000,0.571679,5.353734,4,97.727,328.294,64.049
MCity,kv/mcity_diff2,41,1545236029.902567,0,15,18,1,1,845,118.828125,,118.828125,21130.612411,20.923217,21.177734,268.218750,0.000000,0.554614,2.499992,4,50.013,160.283,64.032
MCity,kv/mcity_diff2,42,1545236031.922488,0,23,25,1,1,852,119.812500,,119.812500,21130.612411,20.923217,21.177734,268.218750,0.000000,0.559208,3.250469,4,61.410,204.291,64.101
MCity,kv/mcity_diff2,43,1545236033.882473,0,12,15,1,1,842,118.406250,,118.406250,21130.612411,20.923217,21.177734,268.218750,0.000000,0.552645,2.162463,4,44.326,140.478,64.614
MCity,kv/mcity_diff2,44,1545236035.902520,0,17,20,1,1,847,119.109375,,119.109375,21130.612411,20.923217,21.177734,268.218750,0.000000,0.555927,2.725537,4,52.654,174.186,64.101
MCity,kv/mcity_diff2,45,1545236037.902443,0,14,17,1,1,844,118.687500,,118.687500,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553958,2.437068,4,48.041,156.261,64.067
MCity,kv/mcity_diff2,46,1545236039.922448,0,13,16,1,1,843,118.546875,,118.546875,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553301,2.302235,4,45.683,149.155,63.964
MCity,kv/mcity_diff2,47,1545236041.922422,0,17,20,1,1,847,119.109375,,119.109375,21130.612411,20.923217,21.177734,268.218750,0.000000,0.555927,2.729853,4,52.796,173.864,63.998
MCity,kv/mcity_diff2,48,1545236043.902399,0,47,50,1,1,877,123.328125,,123.328125,21130.612411,20.923217,21.177734,268.218750,0.000000,0.575617,6.114340,4,107.286,370.532,64.067
MCity,kv/mcity_diff2,49,1545236047.922363,0,17,20,1,1,847,119.109375,,119.109375,21130.612411,20.923217,21.177734,268.218750,0.000000,0.555927,2.778685,4,53.092,175.600,64.032
MCity,kv/mcity_diff2,50,1545236049.882417,0,15,18,1,1,845,118.828125,,118.828125,21130.612411,20.923217,21.177734,268.218750,0.000000,0.554614,2.540299,4,49.535,161.601,64.049
MCity,kv/mcity_diff2,51,1545236051.922370,0,9,12,1,1,839,117.984375,,117.984375,21130.612411,20.923217,21.177734,268.218750,0.000000,0.550676,1.868360,4,38.538,122.536,63.998
MCity,kv/mcity_diff2,52,1545236052.922340,0,11,14,1,1,841,118.265625,,118.265625,21130.612411,20.923217,21.177734,268.218750,0.000000,0.551989,2.090423,4,45.809,135.738,63.913
MCity,kv/mcity_diff2,53,1545236054.882306,0,15,18,1,1,845,118.828125,,118.828125,21130.612411,20.923217,21.177734,268.218750,0.000000,0.554614,2.543193,4,49.356,162.013,64.032
MCity,kv/mcity_diff2,54,1545236056.902365,0,13,16,1,1,843,118.546875,,118.546875,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553301,2.314085,4,45.777,148.843,64.049
MCity,kv/mcity_diff2,55,1545236058.902375,0,14,17,1,1,844,118.687500,,118.687500,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553958,2.441765,4,47.656,156.268,64.049
MCity,kv/mcity_diff2,56,1545236060.922315,0,11,14,1,1,841,118.265625,,118.265625,21130.612411,20.923217,21.177734,268.218750,0.000000,0.551989,2.092684,4,42.189,135.583,64.032
MCity,kv/mcity_diff2,57,1545236062.882249,0,6,9,1,1,836,117.562500,,117.562500,21130.612411,20.923217,21.177734,268.218750,0.000000,0.548707,1.508533,4,32.434,101.935,63.964
MCity,kv/mcity_diff2,58,1545236063.922281,0,13,16,1,1,843,118.546875,,118.546875,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553301,2.267917,4,46.808,147.023,64.101
MCity,kv/mcity_diff2,59,1545236065.902293,0,14,17,1,1,844,118.687500,,118.687500,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553958,2.377213,4,46.851,153.090,64.067
MCity,kv/mcity_diff2,60,1545236067.902213,0,14,17,1,1,844,118.687500,,118.687500,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553958,2.427434,4,47.756,155.706,63.981
MCity,kv/mcity_diff2,61,1545236069.922260,0,13,16,1,1,843,118.546875,,118.546875,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553301,2.302202,4,45.717,148.407,64.049
MCity,kv/mcity_diff2,62,1545236071.882316,0,9,12,1,1,839,117.984375,,117.984375,21130.612411,20.923217,21.177734,268.218750,0.000000,0.550676,1.850724,4,38.551,122.472,64.084
MCity,kv/mcity_diff2,63,1545236072.902180,0,17,20,1,1,847,119.109375,,119.109375,21130.612411,20.923217,21.177734,268.218750,0.000000,0.555927,2.725706,4,56.142,173.862,64.049
MCity,kv/mcity_diff2,64,1545236074.922160,0,15,18,1,1,845,118.828125,,118.828125,21130.612411,20.923217,21.177734,268.218750,0.000000,0.554614,2.501376,4,49.205,160.565,64.135
MCity,kv/mcity_diff2,65,1545236076.882249,0,10,13,1,1,840,118.125000,,118.125000,21130.612411,20.923217,21.177734,268.218750,0.000000,0.551332,1.952268,4,40.037,128.885,64.049
MCity,kv/mcity_diff2,66,1545236077.922225,0,14,17,1,1,844,118.687500,,118.687500,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553958,2.397789,4,51.612,154.904,64.049
MCity,kv/mcity_diff2,67,1545236079.882269,0,16,19,1,1,846,118.968750,,118.968750,21130.612411,20.923217,21.177734,268.218750,0.000000,0.555270,2.604846,4,50.658,166.813,64.306
MCity,kv/mcity_diff2,68,1545236081.902133,0,14,17,1,1,844,118.687500,,118.687500,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553958,2.393855,4,47.329,154.816,63.981
MCity,kv/mcity_diff2,69,1545236083.902162,0,19,22,1,1,849,119.390625,,119.390625,21130.612411,20.923217,21.177734,268.218750,0.000000,0.557239,2.952167,4,56.251,187.380,64.049
MCity,kv/mcity_diff2,70,1545236085.922084,0,14,17,1,1,844,118.687500,,118.687500,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553958,2.388875,4,47.613,154.662,64.084
MCity,kv/mcity_diff2,71,1545236087.922098,0,14,17,1,1,844,118.687500,,118.687500,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553958,2.408085,4,47.554,155.038,63.981
MCity,kv/mcity_diff2,72,1545236089.882042,0,29,32,1,1,859,120.796875,,120.796875,21130.612411,20.923217,21.177734,268.218750,0.000000,0.563803,4.042142,4,73.903,251.321,63.947
MCity,kv/mcity_diff2,73,1545236092.882114,0,0,47,0,0,874,122.906250,,122.906250,21130.612411,20.923217,21.177734,268.218750,0.000000,0.573648,5.903060,4,102.798,365.410,64.135
MCity,kv/mcity_diff2,74,1545236095.922080,0,10,13,1,1,840,118.125000,,118.125000,21130.612411,20.923217,21.177734,268.218750,0.000000,0.551332,1.990560,4,44.397,132.624,64.101
MCity,kv/mcity_diff2,75,1545236096.902021,0,14,17,1,1,844,118.687500,,118.687500,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553958,2.428912,4,52.630,155.805,64.049
MCity,kv/mcity_diff2,76,1545236098.902065,0,16,19,1,1,846,118.968750,,118.968750,21130.612411,20.923217,21.177734,268.218750,0.000000,0.555270,2.706274,4,51.766,174.755,63.998
MCity,kv/mcity_diff2,77,1545236100.921971,0,10,13,1,1,840,118.125000,,118.125000,21130.612411,20.923217,21.177734,268.218750,0.000000,0.551332,1.978773,4,40.587,129.576,63.947
MCity,kv/mcity_diff2,78,1545236101.921944,0,8,11,1,1,838,117.843750,,117.843750,21130.612411,20.923217,21.177734,268.218750,0.000000,0.550020,1.751966,4,41.106,116.642,64.101
MCity,kv/mcity_diff2,79,1545236102.922086,0,19,22,1,1,849,119.390625,,119.390625,21130.612411,20.923217,21.177734,268.218750,0.000000,0.557239,2.987226,4,59.282,188.866,64.049
MCity,kv/mcity_diff2,80,1545236104.921991,0,17,20,1,1,847,119.109375,,119.109375,21130.612411,20.923217,21.177734,268.218750,0.000000,0.555927,2.766353,4,53.329,176.317,63.947
MCity,kv/mcity_diff2,81,1545236106.901981,0,14,17,1,1,844,118.687500,,118.687500,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553958,2.425912,4,47.965,156.192,64.049
MCity,kv/mcity_diff2,82,1545236108.901975,0,0,18,0,0,845,118.828125,,118.828125,21130.612411,20.923217,21.177734,268.218750,0.000000,0.554614,2.541123,4,49.487,162.788,64.032
MCity,kv/mcity_diff2,83,1545236110.881882,0,11,14,1,1,841,118.265625,,118.265625,21130.612411,20.923217,21.177734,268.218750,0.000000,0.551989,2.076084,4,42.115,135.843,63.947
MCity,kv/mcity_diff2,84,1545236112.901949,0,8,11,1,1,838,117.843750,,117.843750,21130.612411,20.923217,21.177734,268.218750,0.000000,0.550020,1.767977,4,37.162,117.146,64.049
MCity,kv/mcity_diff2,85,1545236113.881852,0,17,20,1,1,847,119.109375,,119.109375,21130.612411,20.923217,21.177734,268.218750,0.000000,0.555927,2.762874,4,55.934,175.104,63.998
MCity,kv/mcity_diff2,86,1545236115.921826,0,14,17,1,1,844,118.687500,,118.687500,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553958,2.476480,4,48.373,158.946,64.049
MCity,kv/mcity_diff2,87,1545236117.901838,0,8,11,1,1,838,117.843750,,117.843750,21130.612411,20.923217,21.177734,268.218750,0.000000,0.550020,1.759374,4,36.855,116.424,63.981
MCity,kv/mcity_diff2,88,1545236118.881874,0,14,17,1,1,844,118.687500,,118.687500,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553958,2.442556,4,50.571,156.684,64.049
MCity,kv/mcity_diff2,89,1545236120.901822,0,13,16,1,1,843,118.546875,,118.546875,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553301,2.327894,4,46.180,150.133,64.237
MCity,kv/mcity_diff2,90,1545236122.921825,0,8,11,1,1,838,117.843750,,117.843750,21130.612411,20.923217,21.177734,268.218750,0.000000,0.550020,1.759040,4,36.824,116.878,64.032
MCity,kv/mcity_diff2,91,1545236123.921809,0,14,17,1,1,844,118.687500,,118.687500,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553958,2.439567,4,50.598,156.306,64.032
MCity,kv/mcity_diff2,92,1545236125.901829,0,11,14,1,1,841,118.265625,,118.265625,21130.612411,20.923217,21.177734,268.218750,0.000000,0.551989,2.101889,4,42.332,136.588,64.015
MCity,kv/mcity_diff2,93,1545236127.921757,0,14,17,1,1,844,118.687500,,118.687500,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553958,2.426265,4,47.486,155.997,64.032
MCity,kv/mcity_diff2,94,1545236129.881743,0,10,13,1,1,840,118.125000,,118.125000,21130.612411,20.923217,21.177734,268.218750,0.000000,0.551332,1.982508,4,40.474,129.939,64.118
MCity,kv/mcity_diff2,95,1545236130.921737,0,14,17,1,1,844,118.687500,,118.687500,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553958,2.427632,4,52.385,156.948,64.118
MCity,kv/mcity_diff2,96,1545236132.901794,0,25,28,1,1,855,120.234375,,120.234375,21130.612411,20.923217,21.177734,268.218750,0.000000,0.561177,3.619790,4,66.867,226.736,64.049
MCity,kv/mcity_diff2,97,1545236134.901762,0,13,16,1,1,843,118.546875,,118.546875,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553301,2.290354,4,47.537,148.181,64.015
MCity,kv/mcity_diff2,98,1545236136.921690,0,13,16,1,1,843,118.546875,,118.546875,21130.612411,20.923217,21.177734,268.218750,0.000000,0.553301,2.318473,4,45.950,150.677,63.998
MCity,kv/mcity_diff2,99,1545236138.921722,0,12,15,1,1,842,118.406250,,118.406250,21130.612411,20.923217,21.177734,268.218750,0.000000,0.552645,2.194236,4,44.077,142.716,63.998
