config,dataset,max_gen_len,quant,diff_steps,num_traj_samples,n_inf,lat_ms_mean,lat_ms_med,tokens_mean,tflop_mean,gpu_w_mean,gpu_energy_j_mean,gpu_net_energy_j_mean,power_w_mean,energy_j_mean,net_energy_j_mean,ade_m_mean,ade_m_med,fde_m_mean
waymo_k1,Waymo,64,none,5,1,53,3009.5894905660375,2847.373,7.830188679245283,63.9441320754717,35.727547169811324,106.61667924528302,87.65564150943396,85.10773584905661,254.67058490566038,163.76898113207548,0.10336566037735849,0.027038,0.18368979245283018
waymo_k2,Waymo,64,none,5,2,35,4661.923771428572,4494.938,7.428571428571429,63.9410294117647,41.28257142857143,190.44931428571428,161.09037142857144,91.08942857142857,422.4120571428571,279.0206,0.1379910285714286,0.028513,0.1810482
waymo_k4,Waymo,64,none,5,4,21,8473.834761904762,8207.148,8.666666666666666,63.965849999999996,44.62095238095238,375.7202380952381,322.3555238095238,94.2195238095238,795.9105238095239,531.7473333333334,0.18140447619047617,0.018,0.25867638095238094
mcity_k1,MCity,64,none,5,1,185,2159.520654054054,1865.225,12.91891891891892,64.06380124223602,24.39427027027027,51.474962162162164,33.62523783783784,74.47097297297297,159.26183783783785,93.31002702702703,,,
mcity_k2,MCity,64,none,5,2,55,3261.8908545454547,2505.9840000000004,13.909090909090908,64.07169999999999,27.302727272727275,85.59896363636364,68.90167272727273,78.65454545454546,251.75192727272727,159.91670909090908,,,
mcity_k4,MCity,64,none,5,4,89,4903.068741573034,4176.611,15.651685393258427,64.08374712643678,31.588876404494382,148.18450561797752,105.72784269662921,81.4814606741573,390.4248202247191,247.4513595505618,,,
