dataset,run,n_inferences,camera_frame_messages,frame_note,input_frames_per_inference_mean,model_duration_s_mean,model_duration_s_std,gpu_power_w_mean,gpu_power_w_std,gpu_energy_j_mean,gpu_energy_j_std,gpu_net_energy_j_mean,gpu_net_energy_j_std,total_power_w_mean,total_power_w_std,total_energy_j_mean,total_energy_j_std
MCity,mcity_top_level,133,2649,"1 camera, /camera/image_color",4.0,2.64000592481203,0.9251382442304487,20.22533834586466,1.2575092920146966,52.524,14.819668282898625,33.820067669172936,8.325342837781415,64.51338345864662,1.6279918319438293,169.131007518797,54.3409517087581
Waymo,frame_trace_0p1_loki,29,796,"4 cameras, 199 each",16.0,3.5443852413793104,0.3269708634394393,30.249655172413792,1.2325481235421563,106.85055172413793,5.677929587359707,84.52031034482759,3.761429478492834,74.85896551724139,1.7839569678257898,264.807,18.32294179242437
