dataset,run,max_gen_len,diff_steps,rate,n_inferences,camera_counts,camera_clean,trajectory_messages,first_ros_stamp_s,last_ros_stamp_s,sim_span_s,wall_span_s,sim_interval_median_s,input_camera_frames_mean,model_duration_ms_mean,model_duration_ms_std,reason_tokens_mean,reason_tokens_std,reason_tokens_max,ade_m_mean,ade_m_median,fde_m_mean,fde_m_median,gpu_power_w_mean,gpu_power_w_std,gpu_energy_j_mean,gpu_energy_j_std,total_energy_j_mean,total_energy_j_std,total_tflop_mean,total_tflop_std,source_dir
Waymo,exp_eval/moving_diff2,64,2,0.1,46,199/199/199/199,1,46,1552440196.862068,1552440214.962518,18.100450,180.999962,0.400011,16.00,3452.540,316.321,7.848,2.748,20,0.107082,0.030788,0.194412,0.074143,30.8139,1.1258,106.0688,5.9398,261.0427,18.5607,63.9444,0.0468,results/exp_eval/moving_diff2
MCity,mcity_top_level,,,,133,,,,1545235952.923106,1545236208.701174,255.778068,516.000302,2.000008,4.00,2640.006,925.138,13.241,8.063,53,,,,,20.2253,1.2575,52.5240,14.8197,169.1310,54.3410,,,results
