run,max_gen_len,diff_steps,rate,n_inferences,camera_counts,camera_clean,trajectory_messages,wall_span_s,sim_span_s,wall_inference_fps,sim_inference_fps,wall_interval_mean_s,wall_interval_median_s,sim_interval_mean_s,sim_interval_median_s,model_duration_mean_s,model_duration_std_s,odom_minus_camera_stamp_mean_s,odom_minus_camera_stamp_median_s,odom_minus_camera_stamp_min_s,odom_minus_camera_stamp_max_s,camera_staleness_max_s
precision_default/waymo_bf16,64,5,0.1,41,199/199/199/199,1,41,181.999986,18.200468,0.219780,2.197746,4.550000,4.000250,0.455012,0.400161,4.009518,0.621427,0.000000,0.000000,0.000000,0.000000,0.000000
precision_default/waymo_fp16,64,5,0.1,23,199/199/199/199,1,23,179.000023,17.900453,0.122905,1.229019,8.136365,7.000003,0.813657,0.699978,7.530898,4.213797,0.001087,0.000000,0.000000,0.099979,0.000000
top_level,,,,25,,,,241.657924,19.199913,0.099314,1.250006,10.069080,9.000165,0.799996,0.900034,9.575266,2.121992,,,,,
traj_samples/mcity_k1,64,2,0.5,196,2649,1,196,516.000104,255.778068,0.377907,0.762380,2.646154,2.000034,1.311682,1.019864,2.039771,1.094007,-0.062800,-0.043377,-2.296387,0.019012,0.000000
traj_samples/mcity_k2,64,2,0.5,120,2649,1,120,516.000065,255.778068,0.230620,0.465247,4.336135,4.000030,2.149396,2.019909,3.084887,1.495503,-0.075707,-0.043733,-2.296387,0.016549,0.000000
traj_samples/mcity_k4,64,2,0.5,97,2649,1,97,515.999964,255.778068,0.186047,0.375325,5.375000,4.000087,2.664355,2.020051,4.482037,1.691021,-0.069479,-0.041017,-2.296387,0.020166,0.000000
traj_samples/waymo_k1,64,2,0.1,46,199/199/199/199,1,46,180.000028,18.000465,0.250000,2.499935,4.000001,3.999990,0.400010,0.400010,3.495921,0.344701,-0.003804,0.000000,-0.199962,0.099943,0.000000
traj_samples/waymo_k2,64,2,0.1,34,199/199/199/198,0,34,176.999873,17.700546,0.186441,1.864349,5.363633,5.000024,0.536380,0.499990,4.803463,1.244705,0.000000,0.000000,0.000000,0.000000,0.000000
traj_samples/waymo_k4,64,2,0.1,22,199/199/199/199,1,22,179.000140,17.900453,0.117318,1.173155,8.523816,8.000002,0.852403,0.800026,8.010702,1.142797,0.000000,0.000000,0.000000,0.000000,0.000000
traj_samples_default/mcity_k1,64,5,0.5,185,2649,1,185,516.000037,255.778068,0.356589,0.719374,2.804348,2.000067,1.390098,1.019976,2.159521,0.977851,-0.065579,-0.045185,-2.296387,0.016549,0.000000
traj_samples_default/mcity_k2,64,5,0.5,55,2649,1,55,250.000109,124.999119,0.216000,0.432003,4.629632,4.000085,2.314799,2.019912,3.261891,1.545120,-0.047506,-0.041996,-0.120170,0.016029,0.000000
traj_samples_default/mcity_k4,64,5,0.5,89,2649,1,89,513.999927,255.778068,0.171206,0.344048,5.840908,5.999885,2.906569,2.960054,4.903069,1.876212,-0.055984,-0.039313,-1.297211,0.016029,0.000000
traj_samples_default/waymo_k1,64,5,0.1,53,199/199/199/199,1,53,181.000383,18.100450,0.287292,2.872857,3.480777,3.000315,0.348086,0.300053,3.009589,0.390388,0.000000,0.000000,0.000000,0.000000,0.000000
traj_samples_default/waymo_k2,64,5,0.1,35,199/199/199/199,1,35,178.999999,17.900453,0.189944,1.899393,5.264706,5.000018,0.526484,0.500015,4.661924,0.883830,0.000714,0.000000,0.000000,0.100013,0.000000
traj_samples_default/waymo_k4,64,5,0.1,21,199/199/199/199,1,21,180.999956,18.100450,0.110497,1.104945,9.049998,8.999925,0.905023,0.899985,8.473835,1.168175,0.000000,0.000000,0.000000,0.000000,0.000000
