run,idx,ros_stamp_s,camera_rows_matched,odom_minus_camera_stamp_mean_s,odom_minus_camera_stamp_min_s,odom_minus_camera_stamp_max_s,camera_staleness_mean_s,camera_staleness_max_s,selected_count_min,buffer_len_max,received_count_max
diffusion_matched/mcity_diff10,43,1545236050.902428,1,-0.041964,-0.041964,-0.041964,0.000000,0.000000,4,12,1043
diffusion_matched/mcity_diff10,44,1545236052.922340,1,-0.020197,-0.020197,-0.020197,0.000000,0.000000,4,12,1063
diffusion_matched/mcity_diff10,45,1545236054.882306,1,-0.058770,-0.058770,-0.058770,0.000000,0.000000,4,12,1083
diffusion_matched/mcity_diff10,46,1545236056.902365,1,-0.036485,-0.036485,-0.036485,0.000000,0.000000,4,12,1103
diffusion_matched/mcity_diff10,47,1545236058.902375,1,-0.034653,-0.034653,-0.034653,0.000000,0.000000,4,12,1123
diffusion_matched/mcity_diff10,48,1545236060.922315,1,-0.013137,-0.013137,-0.013137,0.000000,0.000000,4,12,1143
diffusion_matched/mcity_diff10,49,1545236062.882249,1,-0.051068,-0.051068,-0.051068,0.000000,0.000000,4,12,1163
diffusion_matched/mcity_diff10,50,1545236063.922281,1,-0.010434,-0.010434,-0.010434,0.000000,0.000000,4,12,1173
diffusion_matched/mcity_diff10,51,1545236065.902293,1,-0.028375,-0.028375,-0.028375,0.000000,0.000000,4,12,1193
diffusion_matched/mcity_diff10,52,1545236067.902213,1,-0.026552,-0.026552,-0.026552,0.000000,0.000000,4,12,1213
diffusion_matched/mcity_diff10,53,1545236069.922260,1,-0.005002,-0.005002,-0.005002,0.000000,0.000000,4,12,1233
diffusion_matched/mcity_diff10,54,1545236071.882316,1,-0.042835,-0.042835,-0.042835,0.000000,0.000000,4,12,1253
diffusion_matched/mcity_diff10,55,1545236073.882236,1,-0.041017,-0.041017,-0.041017,0.000000,0.000000,4,12,1273
diffusion_matched/mcity_diff10,56,1545236075.902159,1,-0.019530,-0.019530,-0.019530,0.000000,0.000000,4,12,1293
diffusion_matched/mcity_diff10,57,1545236077.922225,1,0.002665,0.002665,0.002665,0.000000,0.000000,4,12,1313
diffusion_matched/mcity_diff10,58,1545236079.882269,1,-0.035437,-0.035437,-0.035437,0.000000,0.000000,4,12,1333
diffusion_matched/mcity_diff10,59,1545236081.902133,1,-0.014034,-0.014034,-0.014034,0.000000,0.000000,4,12,1353
diffusion_matched/mcity_diff10,60,1545236083.902162,1,-0.011906,-0.011906,-0.011906,0.000000,0.000000,4,12,1373
diffusion_matched/mcity_diff10,61,1545236085.922084,1,0.009781,0.009781,0.009781,0.000000,0.000000,4,12,1393
diffusion_matched/mcity_diff10,62,1545236087.922098,1,0.011386,0.011386,0.011386,0.000000,0.000000,4,12,1413
diffusion_matched/mcity_diff10,63,1545236089.882042,1,-0.026514,-0.026514,-0.026514,0.000000,0.000000,4,12,1433
diffusion_matched/mcity_diff10,64,1545236091.902031,1,-0.004755,-0.004755,-0.004755,0.000000,0.000000,4,12,1453
diffusion_matched/mcity_diff10,65,1545236093.902008,1,-0.003161,-0.003161,-0.003161,0.000000,0.000000,4,12,1473
diffusion_matched/mcity_diff10,66,1545236095.922080,1,-0.081239,-0.081239,-0.081239,0.000000,0.000000,4,12,1494
diffusion_matched/mcity_diff10,67,1545236097.921987,1,-0.079376,-0.079376,-0.079376,0.000000,0.000000,4,12,1514
diffusion_matched/mcity_diff10,68,1545236099.881977,1,-0.117346,-0.117346,-0.117346,0.000000,0.000000,4,12,1534
diffusion_matched/mcity_diff10,69,1545236101.921944,1,-0.075874,-0.075874,-0.075874,0.000000,0.000000,4,12,1554
diffusion_matched/mcity_diff10,70,1545236102.922086,1,-0.074461,-0.074461,-0.074461,0.000000,0.000000,4,12,1564
diffusion_matched/mcity_diff10,71,1545236103.901969,1,-0.093932,-0.093932,-0.093932,0.000000,0.000000,4,12,1574
diffusion_matched/mcity_diff10,72,1545236105.921948,1,-0.071857,-0.071857,-0.071857,0.000000,0.000000,4,12,1594
diffusion_matched/mcity_diff10,73,1545236107.881902,1,-0.110329,-0.110329,-0.110329,0.000000,0.000000,4,12,1614
diffusion_matched/mcity_diff10,74,1545236108.901975,1,-0.089387,-0.089387,-0.089387,0.000000,0.000000,4,12,1624
diffusion_matched/mcity_diff10,75,1545236110.881882,1,-0.107764,-0.107764,-0.107764,0.000000,0.000000,4,12,1644
diffusion_matched/mcity_diff10,76,1545236111.921944,1,-0.066261,-0.066261,-0.066261,0.000000,0.000000,4,12,1654
diffusion_matched/mcity_diff10,77,1545236112.901949,1,-0.085743,-0.085743,-0.085743,0.000000,0.000000,4,12,1664
diffusion_matched/mcity_diff10,78,1545236114.901885,1,-0.083593,-0.083593,-0.083593,0.000000,0.000000,4,12,1684
diffusion_matched/mcity_diff10,79,1545236115.921826,1,-0.063146,-0.063146,-0.063146,0.000000,0.000000,4,12,1694
diffusion_matched/mcity_diff10,80,1545236117.901838,1,-0.080985,-0.080985,-0.080985,0.000000,0.000000,4,12,1714
diffusion_matched/mcity_diff10,81,1545236119.921811,1,-0.059394,-0.059394,-0.059394,0.000000,0.000000,4,12,1734
diffusion_matched/mcity_diff10,82,1545236120.901822,1,-0.078224,-0.078224,-0.078224,0.000000,0.000000,4,12,1744
diffusion_matched/mcity_diff10,83,1545236121.901804,1,-0.077632,-0.077632,-0.077632,0.000000,0.000000,4,12,1754
diffusion_matched/mcity_diff10,84,1545236123.921809,1,-0.055425,-0.055425,-0.055425,0.000000,0.000000,4,12,1774
diffusion_matched/mcity_diff10,85,1545236125.901829,1,-0.073937,-0.073937,-0.073937,0.000000,0.000000,4,12,1794
diffusion_matched/mcity_diff10,86,1545236126.881773,1,-0.092713,-0.092713,-0.092713,0.000000,0.000000,4,12,1804
diffusion_matched/mcity_diff10,87,1545236127.921757,1,-0.052109,-0.052109,-0.052109,0.000000,0.000000,4,12,1814
diffusion_matched/mcity_diff10,88,1545236129.881743,1,-0.090041,-0.090041,-0.090041,0.000000,0.000000,4,12,1834
diffusion_matched/mcity_diff10,89,1545236131.901794,1,-0.068409,-0.068409,-0.068409,0.000000,0.000000,4,12,1854
diffusion_matched/mcity_diff10,90,1545236133.921697,1,-0.046700,-0.046700,-0.046700,0.000000,0.000000,4,12,1874
diffusion_matched/mcity_diff10,91,1545236135.901700,1,-0.064533,-0.064533,-0.064533,0.000000,0.000000,4,12,1894
diffusion_matched/mcity_diff10,92,1545236137.901736,1,-0.062948,-0.062948,-0.062948,0.000000,0.000000,4,12,1914
diffusion_matched/mcity_diff10,93,1545236139.921661,1,-0.041221,-0.041221,-0.041221,0.000000,0.000000,4,12,1934
diffusion_matched/mcity_diff10,94,1545236141.881711,1,-0.078927,-0.078927,-0.078927,0.000000,0.000000,4,12,1954
diffusion_matched/mcity_diff10,95,1545236143.901706,1,-0.057484,-0.057484,-0.057484,0.000000,0.000000,4,12,1974
diffusion_matched/mcity_diff10,96,1545236145.921607,1,-0.035655,-0.035655,-0.035655,0.000000,0.000000,4,12,1994
diffusion_matched/mcity_diff10,97,1545236148.921597,1,-0.032915,-0.032915,-0.032915,0.000000,0.000000,4,12,2024
diffusion_matched/mcity_diff10,98,1545236150.921613,1,-0.030756,-0.030756,-0.030756,0.000000,0.000000,4,12,2044
diffusion_matched/mcity_diff10,99,1545236152.881558,1,-0.069370,-0.069370,-0.069370,0.000000,0.000000,4,12,2064
diffusion_matched/mcity_diff10,100,1545236155.881530,1,-0.066671,-0.066671,-0.066671,0.000000,0.000000,4,12,2094
diffusion_matched/mcity_diff10,101,1545236157.901681,1,-0.044623,-0.044623,-0.044623,0.000000,0.000000,4,12,2114
diffusion_matched/mcity_diff10,102,1545236159.901609,1,-0.042629,-0.042629,-0.042629,0.000000,0.000000,4,12,2134
diffusion_matched/mcity_diff10,103,1545236161.901580,1,-0.041090,-0.041090,-0.041090,0.000000,0.000000,4,12,2154
diffusion_matched/mcity_diff10,104,1545236163.881526,1,-0.059225,-0.059225,-0.059225,0.000000,0.000000,4,12,2174
diffusion_matched/mcity_diff10,105,1545236166.881532,1,-0.056541,-0.056541,-0.056541,0.000000,0.000000,4,12,2204
diffusion_matched/mcity_diff10,106,1545236168.901428,1,-0.037284,-0.037284,-0.037284,0.000000,0.000000,4,12,2224
diffusion_matched/mcity_diff10,107,1545236170.901482,1,-0.032864,-0.032864,-0.032864,0.000000,0.000000,4,12,2244
diffusion_matched/mcity_diff10,108,1545236171.921480,1,-0.011849,-0.011849,-0.011849,0.000000,0.000000,4,12,2254
diffusion_matched/mcity_diff10,109,1545236173.901414,1,-0.030252,-0.030252,-0.030252,0.000000,0.000000,4,12,2274
diffusion_matched/mcity_diff10,110,1545236175.921376,1,-0.008386,-0.008386,-0.008386,0.000000,0.000000,4,12,2294
diffusion_matched/mcity_diff10,111,1545236177.881368,1,-0.046342,-0.046342,-0.046342,0.000000,0.000000,4,12,2314
diffusion_matched/mcity_diff10,112,1545236179.901402,1,-0.024726,-0.024726,-0.024726,0.000000,0.000000,4,12,2334
diffusion_matched/mcity_diff10,113,1545236181.901324,1,-0.023011,-0.023011,-0.023011,0.000000,0.000000,4,12,2354
diffusion_matched/mcity_diff10,114,1545236183.921347,1,-0.000718,-0.000718,-0.000718,0.000000,0.000000,4,12,2374
diffusion_matched/mcity_diff10,115,1545236185.881303,1,-0.039280,-0.039280,-0.039280,0.000000,0.000000,4,12,2394
diffusion_matched/mcity_diff10,116,1545236187.921297,1,0.002633,0.002633,0.002633,0.000000,0.000000,4,12,2414
diffusion_matched/mcity_diff10,117,1545236189.921305,1,0.004703,0.004703,0.004703,0.000000,0.000000,4,12,2434
diffusion_matched/mcity_diff10,118,1545236191.881341,1,-0.033803,-0.033803,-0.033803,0.000000,0.000000,4,12,2454
diffusion_matched/mcity_diff10,119,1545236193.901239,1,-0.011962,-0.011962,-0.011962,0.000000,0.000000,4,12,2474
diffusion_matched/mcity_diff10,120,1545236195.901215,1,-0.009918,-0.009918,-0.009918,0.000000,0.000000,4,12,2494
diffusion_matched/mcity_diff10,121,1545236196.881266,1,-0.029196,-0.029196,-0.029196,0.000000,0.000000,4,12,2504
diffusion_matched/mcity_diff10,122,1545236198.901188,1,-0.007130,-0.007130,-0.007130,0.000000,0.000000,4,12,2524
diffusion_matched/mcity_diff10,123,1545236200.901238,1,-0.005537,-0.005537,-0.005537,0.000000,0.000000,4,12,2544
diffusion_matched/mcity_diff10,124,1545236202.921177,1,0.016549,0.016549,0.016549,0.000000,0.000000,4,12,2564
