run,token_cap,n_inferences,model_duration_ms_mean,model_duration_ms_std,reason_tokens_mean,reason_tokens_std,gpu_power_w_mean,gpu_power_w_std,gpu_energy_j_mean,gpu_energy_j_std,total_energy_j_mean,total_energy_j_std
exp_clean/tok16,16,12,3957.509,353.72400439402674,8.083333333333334,3.3967453227875044,28.561666666666667,1.2195143096803542,112.63816666666666,4.972107305821753,288.07366666666667,17.892312017549145
exp_clean/tok32,32,12,3962.51325,607.2481538144957,9.5,4.379705261980329,28.8,1.710736152017073,113.16866666666667,9.097286052177955,289.4955,32.43049873610838
exp_clean/tok64,64,12,4006.5,625.060260314592,9.5,4.58257569495584,28.6025,1.731295494971638,113.60466666666667,9.572287703511,291.73991666666666,33.53561153449307
